text,sentiment,timestamp,day_of_week,label,companyEmail
Venti Black Ice Tea with 8 pumps of classic,neutral,2023-11-27,0,neutral,sayantandas@gmail.com
Can`t sleep but is happy that the Fugees are keeping him company,neutral,2023-11-28,1,joy,deydebjani916@gmail.com
 checked and commented,neutral,2023-11-29,2,neutral,sayantan17@gmail.com
Hi Everyone miss me much?  muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ;),neutral,2023-11-30,3,sadness,kingsuk2022@gmail.com
Forgot my power cable at home today,neutral,2023-12-01,4,neutral,sayantandas@gmail.com
dared to go back and look at that vid I made - I may take it down,neutral,2023-12-02,5,neutral,deydebjani916@gmail.com
Man! I can`t stop being freakin` hungry!,neutral,2023-12-03,6,neutral,sayantan17@gmail.com
  i must have just missed you. I was down there until 9:40 or so. Not sure if I`ll make it down again,neutral,2023-11-27,0,confusion,kingsuk2022@gmail.com
  well hit me and we can see...it depends then,neutral,2023-11-28,1,neutral,sayantandas@gmail.com
Anybody else think that #win7 is pretty much Vista SP2?,neutral,2023-11-29,2,neutral,deydebjani916@gmail.com
 so haven`t seen any videos the last few days  hope everything is ok...,neutral,2023-11-30,3,optimism,sayantan17@gmail.com
i`m lookin for email to this man  i have his photo -Spray Painting in Wroclaw(Poland) by Kosmo http://bit.ly/EOvVN,neutral,2023-12-01,4,neutral,kingsuk2022@gmail.com
" always write holy words in capital dude, ALLAH HAFIZ !",neutral,2023-12-02,5,neutral,sayantandas@gmail.com
" she was wonderful, did not get to meet her though",neutral,2023-12-03,6,admiration,deydebjani916@gmail.com
Cant fall asleep.,neutral,2023-11-27,0,neutral,sayantan17@gmail.com
Theres a fricken prisnor trans outside r hotel!  3/10 so far,neutral,2023-11-28,1,neutral,kingsuk2022@gmail.com
Sleeeeeeeepy.... I`m off... Goodnight twitterverse!,neutral,2023-11-29,2,neutral,sayantandas@gmail.com
everything is good except that neck shot and Steve`s back of the head shots!,neutral,2023-11-30,3,approval,deydebjani916@gmail.com
" haha. not sure what local is to you, but if i was then you`d have to fight me for it!",neutral,2023-12-01,4,amusement,sayantan17@gmail.com
"Nearly finished Angels and Demons, awesome book, feel so lame for only reading it now",neutral,2023-12-02,5,admiration,kingsuk2022@gmail.com
 my boss. She`s moving to NYC,neutral,2023-12-03,6,neutral,sayantandas@gmail.com
" crazy, we live in a small world, and now u live in covina huh? Thas where im @ but back to chino i goooo",neutral,2023-11-27,0,neutral,deydebjani916@gmail.com
want`s to see `2001 Maniacs` Why won`**** come through the post!?,neutral,2023-11-28,1,neutral,sayantan17@gmail.com
